5218427A,Ch.1[C],Ch.2[%]
2020-06-04 00:00:50,29.4,83
2020-06-04 00:01:50,29.4,83
2020-06-04 00:02:50,29.4,83
2020-06-04 00:03:50,29.3,83
2020-06-04 00:04:50,29.3,83
2020-06-04 00:05:50,29.3,84
2020-06-04 00:06:50,29.3,84
2020-06-04 00:07:50,29.3,84
2020-06-04 00:08:50,29.3,84
2020-06-04 00:09:50,29.2,84
2020-06-04 00:10:50,29.2,84
2020-06-04 00:11:50,29.2,84
2020-06-04 00:12:50,29.2,84
2020-06-04 00:13:50,29.2,84
2020-06-04 00:14:50,29.2,84
2020-06-04 00:15:50,29.2,84
2020-06-04 00:16:50,29.2,84
2020-06-04 00:17:50,29.2,84
2020-06-04 00:18:50,29.1,84
2020-06-04 00:19:50,29.2,85
2020-06-04 00:20:50,29.2,85
2020-06-04 00:21:50,29.2,85
2020-06-04 00:22:50,29.2,85
2020-06-04 00:23:50,29.2,85
2020-06-04 00:24:50,29.2,85
2020-06-04 00:25:50,29.2,85
2020-06-04 00:26:50,29.2,85
2020-06-04 00:27:50,29.2,85
2020-06-04 00:28:50,29.1,85
2020-06-04 00:29:50,29.1,85
2020-06-04 00:30:50,29.1,85
2020-06-04 00:31:50,29.1,85
2020-06-04 00:32:50,29.1,85
2020-06-04 00:33:50,29.1,85
2020-06-04 00:34:50,29.1,85
2020-06-04 00:35:50,29.1,85
2020-06-04 00:36:50,29.1,85
2020-06-04 00:37:50,29.1,86
2020-06-04 00:38:50,29.1,86
2020-06-04 00:39:50,29.1,86
2020-06-04 00:40:50,29.1,86
2020-06-04 00:41:50,29.1,86
2020-06-04 00:42:50,29.1,86
2020-06-04 00:43:50,29.1,86
2020-06-04 00:44:50,29.1,86
2020-06-04 00:45:50,29.1,86
2020-06-04 00:46:50,29.1,86
2020-06-04 00:47:50,29.1,86
2020-06-04 00:48:50,29.1,86
2020-06-04 00:49:50,29.1,86
2020-06-04 00:50:50,29.1,86
2020-06-04 00:51:50,29.1,86
2020-06-04 00:52:50,29.1,86
2020-06-04 00:53:50,29.1,86
2020-06-04 00:54:50,29.1,86
2020-06-04 00:55:50,29.1,86
2020-06-04 00:56:50,29.1,86
2020-06-04 00:57:50,29.1,86
2020-06-04 00:58:50,29.1,86
2020-06-04 00:59:50,29.2,86
2020-06-04 01:00:50,29.2,86
2020-06-04 01:01:50,29.2,86
2020-06-04 01:02:50,29.2,86
2020-06-04 01:03:50,29.2,86
2020-06-04 01:04:50,29.1,86
2020-06-04 01:05:50,29.1,86
2020-06-04 01:06:50,29.1,86
2020-06-04 01:07:50,29.1,86
2020-06-04 01:08:50,29.1,86
2020-06-04 01:09:50,29.1,86
2020-06-04 01:10:50,29.2,86
2020-06-04 01:11:50,29.2,86
2020-06-04 01:12:50,29.1,86
2020-06-04 01:13:50,29.1,86
2020-06-04 01:14:50,29.1,86
2020-06-04 01:15:50,29.1,87
2020-06-04 01:16:50,29.1,87
2020-06-04 01:17:50,29.1,87
2020-06-04 01:18:50,29.0,87
2020-06-04 01:19:50,29.0,87
2020-06-04 01:20:50,29.0,87
2020-06-04 01:21:50,29.0,87
2020-06-04 01:22:50,29.0,87
2020-06-04 01:23:50,28.9,87
2020-06-04 01:24:50,28.9,88
2020-06-04 01:25:50,28.9,88
2020-06-04 01:26:50,28.9,88
2020-06-04 01:27:50,28.9,88
2020-06-04 01:28:50,28.9,88
2020-06-04 01:29:50,28.9,88
2020-06-04 01:30:50,28.9,88
2020-06-04 01:31:50,28.9,88
2020-06-04 01:32:50,28.9,88
2020-06-04 01:33:50,28.9,88
2020-06-04 01:34:50,28.9,88
2020-06-04 01:35:50,28.9,88
2020-06-04 01:36:50,28.9,88
2020-06-04 01:37:50,28.9,88
2020-06-04 01:38:50,28.8,89
2020-06-04 01:39:50,28.8,89
2020-06-04 01:40:50,28.8,89
2020-06-04 01:41:50,28.8,89
2020-06-04 01:42:50,28.8,89
2020-06-04 01:43:50,28.8,89
2020-06-04 01:44:50,28.8,89
2020-06-04 01:45:50,28.8,89
2020-06-04 01:46:50,28.8,89
2020-06-04 01:47:50,28.8,89
2020-06-04 01:48:50,28.8,89
2020-06-04 01:49:50,28.8,89
2020-06-04 01:50:50,28.8,89
2020-06-04 01:51:50,28.8,89
2020-06-04 01:52:50,28.8,89
2020-06-04 01:53:50,28.8,89
2020-06-04 01:54:50,28.8,90
2020-06-04 01:55:50,28.8,90
2020-06-04 01:56:50,28.8,90
2020-06-04 01:57:50,28.8,90
2020-06-04 01:58:50,28.8,89
2020-06-04 01:59:50,28.8,89
2020-06-04 02:00:50,28.8,89
2020-06-04 02:01:50,28.8,89
2020-06-04 02:02:50,28.8,89
2020-06-04 02:03:50,28.8,89
2020-06-04 02:04:50,28.8,89
2020-06-04 02:05:50,28.8,89
2020-06-04 02:06:50,28.8,89
2020-06-04 02:07:50,28.8,89
2020-06-04 02:08:50,28.8,89
2020-06-04 02:09:50,28.8,89
2020-06-04 02:10:50,28.8,89
2020-06-04 02:11:50,28.8,89
2020-06-04 02:12:50,28.8,89
2020-06-04 02:13:50,28.8,89
2020-06-04 02:14:50,28.9,89
2020-06-04 02:15:50,28.9,89
2020-06-04 02:16:50,28.9,89
2020-06-04 02:17:50,28.9,89
2020-06-04 02:18:50,28.9,89
2020-06-04 02:19:50,28.9,89
2020-06-04 02:20:50,28.9,89
2020-06-04 02:21:50,28.9,89
2020-06-04 02:22:50,28.8,89
2020-06-04 02:23:50,28.8,89
2020-06-04 02:24:50,28.8,89
2020-06-04 02:25:50,28.8,89
2020-06-04 02:26:50,28.8,89
2020-06-04 02:27:50,28.8,89
2020-06-04 02:28:50,28.8,89
2020-06-04 02:29:50,28.8,89
2020-06-04 02:30:50,28.7,89
2020-06-04 02:31:50,28.7,89
2020-06-04 02:32:50,28.7,89
2020-06-04 02:33:50,28.7,89
2020-06-04 02:34:50,28.7,89
2020-06-04 02:35:50,28.8,89
2020-06-04 02:36:50,28.8,89
2020-06-04 02:37:50,28.8,89
2020-06-04 02:38:50,28.8,89
2020-06-04 02:39:50,28.8,89
2020-06-04 02:40:50,28.8,89
2020-06-04 02:41:50,28.8,89
2020-06-04 02:42:50,28.8,88
2020-06-04 02:43:50,28.8,88
2020-06-04 02:44:50,28.9,88
2020-06-04 02:45:50,28.9,88
2020-06-04 02:46:50,28.9,88
2020-06-04 02:47:50,28.9,88
2020-06-04 02:48:50,28.9,88
2020-06-04 02:49:50,28.9,88
2020-06-04 02:50:50,28.9,88
2020-06-04 02:51:50,28.9,88
2020-06-04 02:52:50,28.9,88
2020-06-04 02:53:50,29.0,88
2020-06-04 02:54:50,29.0,88
2020-06-04 02:55:50,29.0,88
2020-06-04 02:56:50,29.0,87
2020-06-04 02:57:50,29.0,87
2020-06-04 02:58:50,29.0,87
2020-06-04 02:59:50,29.0,87
2020-06-04 03:00:50,29.0,87
2020-06-04 03:01:50,29.0,87
2020-06-04 03:02:50,29.0,87
2020-06-04 03:03:50,29.0,87
2020-06-04 03:04:50,29.0,87
2020-06-04 03:05:50,29.0,87
2020-06-04 03:06:50,29.0,87
2020-06-04 03:07:50,29.0,87
2020-06-04 03:08:50,29.0,87
2020-06-04 03:09:50,29.0,87
2020-06-04 03:10:50,29.0,87
2020-06-04 03:11:50,29.0,87
2020-06-04 03:12:50,29.0,87
2020-06-04 03:13:50,29.0,87
2020-06-04 03:14:50,29.0,87
2020-06-04 03:15:50,29.0,87
2020-06-04 03:16:50,29.0,87
2020-06-04 03:17:50,29.0,87
2020-06-04 03:18:50,29.0,87
2020-06-04 03:19:50,29.0,87
2020-06-04 03:20:50,29.0,87
2020-06-04 03:21:50,29.0,87
2020-06-04 03:22:50,28.9,87
