52364E1A,Ch.1[C],Ch.2[%]
2020-06-04 00:00:34,27.4,71
2020-06-04 00:01:34,27.4,71
2020-06-04 00:02:34,27.4,71
2020-06-04 00:03:34,27.4,71
2020-06-04 00:04:34,27.4,71
2020-06-04 00:05:34,27.4,71
2020-06-04 00:06:34,27.4,71
2020-06-04 00:07:34,27.5,71
2020-06-04 00:08:34,27.5,71
2020-06-04 00:09:34,27.5,71
2020-06-04 00:10:34,27.5,71
2020-06-04 00:11:34,27.5,71
2020-06-04 00:12:34,27.4,71
2020-06-04 00:13:34,27.4,71
2020-06-04 00:14:34,27.5,71
2020-06-04 00:15:34,27.5,71
2020-06-04 00:16:34,27.5,72
2020-06-04 00:17:34,27.5,72
2020-06-04 00:18:34,27.5,72
2020-06-04 00:19:34,27.5,72
2020-06-04 00:20:34,27.5,72
2020-06-04 00:21:34,27.5,72
2020-06-04 00:22:34,27.5,72
2020-06-04 00:23:34,27.5,72
2020-06-04 00:24:34,27.5,72
2020-06-04 00:25:34,27.5,72
2020-06-04 00:26:34,27.5,72
2020-06-04 00:27:34,27.5,72
2020-06-04 00:28:34,27.5,72
2020-06-04 00:29:34,27.5,72
2020-06-04 00:30:34,27.5,72
2020-06-04 00:31:34,27.5,72
2020-06-04 00:32:34,27.5,72
2020-06-04 00:33:34,27.5,72
2020-06-04 00:34:34,27.5,72
2020-06-04 00:35:34,27.5,72
2020-06-04 00:36:34,27.5,72
2020-06-04 00:37:34,27.5,72
2020-06-04 00:38:34,27.5,72
2020-06-04 00:39:34,27.5,72
2020-06-04 00:40:34,27.5,72
2020-06-04 00:41:34,27.5,72
2020-06-04 00:42:34,27.5,72
2020-06-04 00:43:34,27.5,72
2020-06-04 00:44:34,27.5,72
2020-06-04 00:45:34,27.5,72
2020-06-04 00:46:34,27.5,72
2020-06-04 00:47:34,27.5,72
2020-06-04 00:48:34,27.5,72
2020-06-04 00:49:34,27.5,72
2020-06-04 00:50:34,27.5,72
2020-06-04 00:51:34,27.5,72
2020-06-04 00:52:34,27.5,72
2020-06-04 00:53:34,27.5,71
2020-06-04 00:54:34,27.5,72
2020-06-04 00:55:34,27.5,72
2020-06-04 00:56:34,27.5,72
2020-06-04 00:57:34,27.5,72
2020-06-04 00:58:34,27.5,72
2020-06-04 00:59:34,27.5,72
2020-06-04 01:00:34,27.5,71
2020-06-04 01:01:34,27.5,71
2020-06-04 01:02:34,27.5,71
2020-06-04 01:03:34,27.5,72
2020-06-04 01:04:34,27.5,72
2020-06-04 01:05:34,27.5,72
2020-06-04 01:06:34,27.5,72
2020-06-04 01:07:34,27.5,72
2020-06-04 01:08:34,27.5,72
2020-06-04 01:09:34,27.5,72
2020-06-04 01:10:34,27.5,72
2020-06-04 01:11:34,27.5,72
2020-06-04 01:12:34,27.5,72
2020-06-04 01:13:34,27.5,72
2020-06-04 01:14:34,27.5,72
2020-06-04 01:15:34,27.5,72
2020-06-04 01:16:34,27.5,72
2020-06-04 01:17:34,27.5,72
2020-06-04 01:18:34,27.6,72
2020-06-04 01:19:34,27.6,72
2020-06-04 01:20:34,27.5,72
2020-06-04 01:21:34,27.6,72
2020-06-04 01:22:34,27.6,72
2020-06-04 01:23:34,27.6,72
2020-06-04 01:24:34,27.6,72
2020-06-04 01:25:34,27.5,72
2020-06-04 01:26:34,27.5,72
2020-06-04 01:27:34,27.6,72
2020-06-04 01:28:34,27.6,72
2020-06-04 01:29:34,27.6,72
2020-06-04 01:30:34,27.6,72
2020-06-04 01:31:34,27.6,72
2020-06-04 01:32:34,27.6,72
2020-06-04 01:33:34,27.6,72
2020-06-04 01:34:34,27.6,72
