52364E1B,Ch.1[C],Ch.2[%]
2020-08-04 00:46:57,26.9,55
2020-08-04 01:46:57,27.0,58
2020-08-04 02:46:57,26.9,55
2020-08-04 03:46:57,27.1,58
2020-08-04 04:46:57,27.0,58
2020-08-04 05:46:57,27.0,55
2020-08-04 06:46:57,27.1,57
2020-08-04 07:46:57,27.1,57
2020-08-04 08:46:57,26.9,61
2020-08-04 09:46:57,27.1,63
2020-08-04 10:46:57,27.1,63
2020-08-04 11:46:57,26.9,58
2020-08-04 12:46:57,26.8,59
2020-08-04 13:46:57,26.9,57
2020-08-04 14:46:57,27.2,58
2020-08-04 15:46:57,27.2,61
2020-08-04 16:46:57,27.1,60
2020-08-04 17:46:57,27.2,59
2020-08-04 18:46:57,27.2,60
2020-08-04 19:46:57,27.1,57
2020-08-04 20:46:57,27.1,57
2020-08-04 21:46:57,27.1,58
2020-08-04 22:46:57,27.2,60
2020-08-04 23:46:57,27.1,58
